32867|0.0000000000000003 0.0000000000000016 0.0000000000000001 0.0000000000000001 -0.0000000000003807 0.0000000000000006 -0.0000000000000000 0.0000000000000002 -0.0000000000000003 -0.0000000000000009 0.0011905285064131
32868|0.0000000000000002 -0.0000000000000001 -0.0000000000000002 -0.0000000000000004 0.0000000000000003 0.0000000000000008 -0.0000000000000004 -0.0000000000000009 -0.0000000000000001 0.0000000000000002 -0.0016719074919820
32870|-0.0000000000000004 -0.0000000000000011 -0.0000000000000002 -0.0000000000000001 0.0000000000013302 0.0000000000000003 -0.0000000000000011 0.0000000000000010 0.0000000000000004 0.0000000000000004 0.0030809533782303
102|0.0000000000000001 -0.0000000000000002 0.0000000000000000 -0.0000000000000001 0.0000000000000003 -0.0000000000000004 -0.0000000000000003 -0.0000000000000007 -0.0000000000000000 -0.0000000000000000 -0.0004920989158563
32872|-0.0000000000000003 0.0000000000000003 0.0000000000000009 -0.0000000000000002 0.0000000032753953 0.0000000000000007 0.0000000000000005 0.0000000000000003 -0.0000000000000011 -0.0000000000000004 0.0240923203527927
104|-0.0000000000000004 -0.0000000000000002 0.0000000000000005 0.0000000000000006 0.0000000000000625 -0.0000000000000004 0.0000000000000003 0.0000000000000009 -0.0000000000000004 -0.0000000000000007 -0.0090441200882196
108|0.0000000000000009 -0.0000000000000007 -0.0000000000000005 0.0000000000000007 0.0000000040005288 0.0000000000000003 0.0000000000000003 -0.0000000000000015 0.0000000000000008 0.0000000000000000 0.0137126035988331
32876|-0.0000000000000003 -0.0000000000000003 -0.0000000000000006 0.0000000000000002 -0.0000000000066478 -0.0000000000000002 -0.0000000000000004 -0.0000000000000001 -0.0000000000000010 0.0000000000000003 -0.0125186592340469
32878|-0.0000000000000007 -0.0000000000000009 -0.0000000000000001 -0.0000000000000001 -0.0000000000000001 0.0000000000000001 -0.0000000000000002 -0.0000000000000000 -0.0000000000000007 -0.0000000000000000 -0.0018627702957019
109|-0.0000000000000001 0.0000000000000002 -0.0000000000000003 -0.0000000000000000 -0.0000000000000005 0.0000000000000005 -0.0000000000000007 0.0000000000000010 -0.0000000000000004 0.0000000000000001 0.0040246103890240
111|-0.0000000000000001 0.0000000000000001 0.0000000000000000 -0.0000000000000005 -0.0000000000000025 0.0000000000000005 -0.0000000000000001 -0.0000000000000010 0.0000000000000007 -0.0000000000000008 0.0048855706118047
32881|0.0000000000000004 0.0000000000000004 0.0000000000000002 0.0000000000000007 0.0000000000025741 0.0000000000000002 0.0000000000000006 0.0000000000000002 0.0000000000000002 -0.0000000000000005 -0.0045127253979445
32883|-0.0000000000000002 0.0000000000000008 0.0000000000000006 0.0000000000000007 -0.0000000001163509 0.0000000000000011 0.0000000000000010 -0.0000000000000007 0.0000000000000012 0.0000000000000001 0.0505080856382847
32889|-0.0000000000000003 -0.0000000000000001 0.0000000000000001 0.0000000000000002 0.0000000000000006 0.0000000000000002 -0.0000000000000001 -0.0000000000000001 0.0000000000000003 0.0000000000000011 -0.0012434774544090
32890|-0.0000000000000003 -0.0000000000000001 0.0000000000000007 -0.0000000000000003 0.0000000000000004 -0.0000000000000005 0.0000000000000001 -0.0000000000000003 0.0000000000000004 -0.0000000000000005 -0.0003081659669988
32891|-0.0000000000000001 0.0000000000000005 0.0000000000000006 0.0000000000000004 -0.0000000000007669 -0.0000000000000009 -0.0000000000000003 0.0000000000000012 0.0000000000000000 -0.0000000000000002 -0.0095168342813849
124|0.0000000000000001 -0.0000000000000011 0.0000000000000004 0.0000000000000003 -0.0000000000000622 0.0000000000000003 0.0000000000000000 -0.0000000000000001 0.0000000000000012 0.0000000000000006 0.0048537822440267
32894|0.0000000000000010 -0.0000000000000007 -0.0000000000000002 0.0000000000000016 -0.0000000019185209 0.0000000000000000 0.0000000000000004 0.0000000000000001 -0.0000000000000006 0.0000000000000004 0.0188814774155617
32895|0.0000000000000008 0.0000000000000004 -0.0000000000000002 -0.0000000000000001 -0.0000000000103018 -0.0000000000000000 0.0000000000000000 -0.0000000000000006 -0.0000000000000007 0.0000000000000000 0.0055061085149646
126|0.0000000000000006 0.0000000000000001 0.0000000000000009 0.0000000000000003 0.0000000000000009 0.0000000000000005 -0.0000000000000001 0.0000000000000008 0.0000000000000014 0.0000000000000002 0.0055346405133605
32896|0.0000000000000007 0.0000000000000007 0.0000000000000003 0.0000000000000004 -0.0000000000000004 -0.0000000000000001 -0.0000000000000003 0.0000000000000001 0.0000000000000011 0.0000000000000007 0.0048853727057576
